user_id,movie_id,rating
7000,1,4
7000,2858,4
7000,260,5
7000,55,3
7000,16,5
7000,24,2
7000,13,3
7000,25,4
7001,260,5
7001,1097,4
7001,1288,4
7001,13,3
7001,25,4
7001,4,4
7001,18,4
7002,260,5
7002,608,4
7002,919,4
7002,13,3
7002,25,4
7002,4,4
7002,18,4
7002,423,4
7002,1136,4
7002,1247,4
7002,3527,4
7002,1243,4
7002,1411,4
7002,3066,4
7002,937,4
7002,1337,4
7002,701,4
7003,2858,4
7003,260,4
7003,356,4
7003,16,4
7003,24,4
7003,13,4
7003,25,4
7003,383,4
7000,1270,4
7000,1097,4
7000,1196,4
7000,34,4
7000,45,4
7000,4,4
7000,18,4
7000,1300,4
7004,260,4
7004,1259,4
7004,588,4
7004,13,4
7004,25,4
7004,3,4
7004,44,4
7004,110,4
